127.0.0.1 - - [25/Nov/2020:20:43:33 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:35 +0900] "GET /WEB-INF/views/board/get.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:39 +0900] "GET /board/get.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /board/list HTTP/1.1" 200 28904
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:44 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:46 +0900] "GET /board/list?pageNum=9&amount=10&type=&keyword= HTTP/1.1" 200 29004
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:46 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:20:43:46 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
