127.0.0.1 - - [23/Feb/2021:21:01:50 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:01:51 +0900] "GET /WEB-INF/views/customLogin.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:06 +0900] "GET /customLogin HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:15 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:15 +0900] "GET /sample/admin HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:30 +0900] "GET /sample/admin HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:36 +0900] "GET /customLogout HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:37 +0900] "POST /customLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:02:37 +0900] "GET /customLogin?logout HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:03:08 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:03:08 +0900] "GET /sample/admin HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:03:26 +0900] "GET /customLogout HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:03:27 +0900] "POST /customLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:03:27 +0900] "GET /customLogin?logout HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:06:26 +0900] "GET /customLogin?logout HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:12:58 +0900] "GET /customLogin?logout HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:13:07 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:13:07 +0900] "GET /sample/admin HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:15:36 +0900] "GET /sample/admin HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Feb/2021:21:16:26 +0900] "GET /sample/admin HTTP/1.1" 200 1441
